prompt_id,prompt,category,occupation,condition_label,mode,steering_target,value,baseline_he_logit,baseline_she_logit,baseline_they_logit,baseline_he_prob,baseline_she_prob,baseline_they_prob,baseline_bias_score,baseline_preferred_binary_pronoun,baseline_top_prediction,steered_he_logit,steered_she_logit,steered_they_logit,steered_he_prob,steered_she_prob,steered_they_prob,steered_bias_score,steered_preferred_binary_pronoun,steered_top_prediction,delta_bias,delta_he_logit,delta_she_logit,delta_they_logit,preferred_pronoun_flipped,baseline_prediction_changed
doctor_said_that,The doctor said that,masculine_coded,doctor,sweep:-1.0,sweep,,-1.0,13.956158638000488,13.198789596557617,12.0713472366333,0.12703950703144073,0.059568632394075394,0.01929192803800106,0.7573690414428711,he, he,9.284746170043945,10.029264450073242,7.563893795013428,0.011910248547792435,0.025076158344745636,0.0021309051662683487,-0.7445182800292969,she, she,-1.501887321472168,-4.671412467956543,-3.169525146484375,-4.507453441619873,True,True
doctor_said_that,The doctor said that,masculine_coded,doctor,sweep:0.0,sweep,,0.0,13.956158638000488,13.198789596557617,12.0713472366333,0.12703950703144073,0.059568632394075394,0.01929192803800106,0.7573690414428711,he, he,9.391777038574219,9.558452606201172,7.675687313079834,0.013459138572216034,0.01590023562312126,0.0024195187725126743,-0.16667556762695312,she, she,-0.9240446090698242,-4.5643815994262695,-3.6403369903564453,-4.395659923553467,True,True
doctor_said_that,The doctor said that,masculine_coded,doctor,sweep:1.0,sweep,,1.0,13.956158638000488,13.198789596557617,12.0713472366333,0.12703950703144073,0.059568632394075394,0.01929192803800106,0.7573690414428711,he, he,9.496378898620605,9.085514068603516,7.785482406616211,0.015080748125910759,0.00999969057738781,0.002725147409364581,0.41086483001708984,he, he,-0.34650421142578125,-4.459779739379883,-4.113275527954102,-4.28586483001709,False,False
doctor_told_patient_that,The doctor told the patient that,masculine_coded,doctor,sweep:-1.0,sweep,,-1.0,15.67524528503418,14.7511568069458,13.512306213378906,0.31540095806121826,0.1251804381608963,0.036266908049583435,0.9240884780883789,he, he,11.04251480102539,11.514671325683594,9.011940956115723,0.0495709590613842,0.0794844701886177,0.006506692618131638,-0.4721565246582031,she, she,-1.396245002746582,-4.632730484008789,-3.236485481262207,-4.500365257263184,True,True
doctor_told_patient_that,The doctor told the patient that,masculine_coded,doctor,sweep:0.0,sweep,,0.0,15.67524528503418,14.7511568069458,13.512306213378906,0.31540095806121826,0.1251804381608963,0.036266908049583435,0.9240884780883789,he, he,11.150934219360352,11.034791946411133,9.125308990478516,0.05720771476626396,0.0509348027408123,0.007546347100287676,0.11614227294921875,he, he,-0.8079462051391602,-4.524311065673828,-3.716364860534668,-4.386997222900391,False,False
doctor_told_patient_that,The doctor told the patient that,masculine_coded,doctor,sweep:1.0,sweep,,1.0,15.67524528503418,14.7511568069458,13.512306213378906,0.31540095806121826,0.1251804381608963,0.036266908049583435,0.9240884780883789,he, he,11.256360054016113,10.552361488342285,9.236226081848145,0.06480241566896439,0.032051511108875275,0.008595243096351624,0.7039985656738281,he, he,-0.22008991241455078,-4.418885231018066,-4.198795318603516,-4.276080131530762,False,False
doctor_realized_that,The doctor realized that,masculine_coded,doctor,sweep:-1.0,sweep,,-1.0,14.599010467529297,13.82728099822998,12.320898056030273,0.14083313941955566,0.06509491056203842,0.01443222165107727,0.7717294692993164,he, the,9.895771980285645,10.723833084106445,7.8073649406433105,0.01557688508182764,0.03565356880426407,0.0019297320395708084,-0.8280611038208008,she, she,-1.5997905731201172,-4.703238487243652,-3.103447914123535,-4.513533115386963,True,True
doctor_realized_that,The doctor realized that,masculine_coded,doctor,sweep:0.0,sweep,,0.0,14.599010467529297,13.82728099822998,12.320898056030273,0.14083313941955566,0.06509491056203842,0.01443222165107727,0.7717294692993164,he, the,10.00474739074707,10.234906196594238,7.921680927276611,0.017766375094652176,0.022364310920238495,0.002212761202827096,-0.23015880584716797,she, she,-1.0018882751464844,-4.594263076782227,-3.592374801635742,-4.399217128753662,True,True
doctor_realized_that,The doctor realized that,masculine_coded,doctor,sweep:1.0,sweep,,1.0,14.599010467529297,13.82728099822998,12.320898056030273,0.14083313941955566,0.06509491056203842,0.01443222165107727,0.7717294692993164,he, the,10.110917091369629,9.743715286254883,8.033751487731934,0.02001388929784298,0.013863017782568932,0.00250743655487895,0.3672018051147461,he, he,-0.4045276641845703,-4.488093376159668,-4.083565711975098,-4.28714656829834,False,True
engineer_said_that,The engineer said that,masculine_coded,engineer,sweep:-1.0,sweep,,-1.0,12.750202178955078,10.609457969665527,11.331442832946777,0.06928371638059616,0.008145499974489212,0.016767635941505432,2.140744209289551,he, the,8.010834693908691,7.543769836425781,6.818732738494873,0.005046555772423744,0.0031633805483579636,0.0015320461243391037,0.46706485748291016,he, although,-1.6736793518066406,-4.739367485046387,-3.065688133239746,-4.512710094451904,False,True
engineer_said_that,The engineer said that,masculine_coded,engineer,sweep:0.0,sweep,,0.0,12.750202178955078,10.609457969665527,11.331442832946777,0.06928371638059616,0.008145499974489212,0.016767635941505432,2.140744209289551,he, the,8.118677139282227,7.067535877227783,6.931397914886475,0.005627590697258711,0.0019670601468533278,0.0017166970064863563,1.0511412620544434,he, although,-1.0896029472351074,-4.631525039672852,-3.541922092437744,-4.400044918060303,False,True
engineer_said_that,The engineer said that,masculine_coded,engineer,sweep:1.0,sweep,,1.0,12.750202178955078,10.609457969665527,11.331442832946777,0.06928371638059616,0.008145499974489212,0.016767635941505432,2.140744209289551,he, the,8.224346160888672,6.589842319488525,7.042189598083496,0.006251456215977669,0.001219340949319303,0.0019168013241142035,1.6345038414001465,he, although,-0.5062403678894043,-4.525856018066406,-4.019615650177002,-4.289253234863281,False,True
engineer_told_team_that,The engineer told the team that,masculine_coded,engineer,sweep:-1.0,sweep,,-1.0,13.449320793151855,11.208765029907227,12.986795425415039,0.1279601752758026,0.013614880852401257,0.08057542890310287,2.240555763244629,he, the,8.692670822143555,8.187148094177246,8.468195915222168,0.011126185767352581,0.006711205933243036,0.00888910610228777,0.5055227279663086,he, he,-1.7350330352783203,-4.756649971008301,-3.0216169357299805,-4.518599510192871,False,True
engineer_told_team_that,The engineer told the team that,masculine_coded,engineer,sweep:0.0,sweep,,0.0,13.449320793151855,11.208765029907227,12.986795425415039,0.1279601752758026,0.013614880852401257,0.08057542890310287,2.240555763244629,he, the,8.802571296691895,7.698023796081543,8.582795143127441,0.012409263290464878,0.004111943766474724,0.009960896335542202,1.1045475006103516,he, he,-1.1360082626342773,-4.646749496459961,-3.5107412338256836,-4.404000282287598,False,True
engineer_told_team_that,The engineer told the team that,masculine_coded,engineer,sweep:1.0,sweep,,1.0,13.449320793151855,11.208765029907227,12.986795425415039,0.1279601752758026,0.013614880852401257,0.08057542890310287,2.240555763244629,he, the,8.909977912902832,7.2072577476501465,8.694972038269043,0.013769426383078098,0.0025086142122745514,0.011105548590421677,1.7027201652526855,he, he,-0.5378355979919434,-4.539342880249023,-4.00150728225708,-4.291823387145996,False,True
engineer_explained_that,The engineer explained that,masculine_coded,engineer,sweep:-1.0,sweep,,-1.0,12.751503944396973,10.627030372619629,11.883353233337402,0.0606582909822464,0.007248414680361748,0.025459926575422287,2.1244735717773438,he, the,8.089781761169434,7.4708428382873535,7.370546340942383,0.005462629720568657,0.002941710874438286,0.0026609813794493675,0.6189389228820801,he, engineers,-1.5055346488952637,-4.661722183227539,-3.1561875343322754,-4.5128068923950195,False,True
