prompt_id,prompt,category,occupation,condition_label,mode,steering_target,value,baseline_he_logit,baseline_she_logit,baseline_they_logit,baseline_he_prob,baseline_she_prob,baseline_they_prob,baseline_bias_score,baseline_preferred_binary_pronoun,baseline_top_prediction,steered_he_logit,steered_she_logit,steered_they_logit,steered_he_prob,steered_she_prob,steered_they_prob,steered_bias_score,steered_preferred_binary_pronoun,steered_top_prediction,delta_bias,delta_he_logit,delta_she_logit,delta_they_logit,preferred_pronoun_flipped,baseline_prediction_changed
doctor_said_that,The doctor said that,masculine_coded,doctor,sweep:-1.0,sweep,,-1.0,13.956158638000488,13.198789596557617,12.0713472366333,0.12703950703144073,0.059568632394075394,0.01929192803800106,0.7573690414428711,he, he,9.823732376098633,9.227814674377441,7.594218730926514,0.020768368616700172,0.011444548144936562,0.0022342766169458628,0.5959177017211914,he, he,-0.1614513397216797,-4.1324262619018555,-3.970974922180176,-4.477128505706787,False,False
doctor_said_that,The doctor said that,masculine_coded,doctor,sweep:0.0,sweep,,0.0,13.956158638000488,13.198789596557617,12.0713472366333,0.12703950703144073,0.059568632394075394,0.01929192803800106,0.7573690414428711,he, he,9.324320793151855,9.612597465515137,7.688364505767822,0.012571368366479874,0.016771793365478516,0.0024484756868332624,-0.28827667236328125,she, she,-1.0456457138061523,-4.631837844848633,-3.5861921310424805,-4.3829827308654785,True,True
doctor_said_that,The doctor said that,masculine_coded,doctor,sweep:1.0,sweep,,1.0,13.956158638000488,13.198789596557617,12.0713472366333,0.12703950703144073,0.059568632394075394,0.01929192803800106,0.7573690414428711,he, he,8.823478698730469,9.99438762664795,7.780486106872559,0.007526317611336708,0.02427179180085659,0.002652263268828392,-1.1709089279174805,she, she,-1.9282779693603516,-5.1326799392700195,-3.204401969909668,-4.290861129760742,True,True
doctor_told_patient_that,The doctor told the patient that,masculine_coded,doctor,sweep:-1.0,sweep,,-1.0,15.67524528503418,14.7511568069458,13.512306213378906,0.31540095806121826,0.1251804381608963,0.036266908049583435,0.9240884780883789,he, he,11.414789199829102,10.981314659118652,9.030610084533691,0.0736875906586647,0.04776819050312042,0.006791387684643269,0.4334745407104492,he, he,-0.4906139373779297,-4.260456085205078,-3.7698421478271484,-4.481696128845215,False,False
doctor_told_patient_that,The doctor told the patient that,masculine_coded,doctor,sweep:0.0,sweep,,0.0,15.67524528503418,14.7511568069458,13.512306213378906,0.31540095806121826,0.1251804381608963,0.036266908049583435,0.9240884780883789,he, he,10.905253410339355,11.37173843383789,9.125411987304688,0.044268809258937836,0.07058130949735641,0.007466594222933054,-0.46648502349853516,she, she,-1.390573501586914,-4.769991874694824,-3.37941837310791,-4.386894226074219,True,True
doctor_told_patient_that,The doctor told the patient that,masculine_coded,doctor,sweep:1.0,sweep,,1.0,15.67524528503418,14.7511568069458,13.512306213378906,0.31540095806121826,0.1251804381608963,0.036266908049583435,0.9240884780883789,he, he,10.393832206726074,11.758628845214844,9.217747688293457,0.025801846757531166,0.10101233422756195,0.007959462702274323,-1.3647966384887695,she, she,-2.2888851165771484,-5.2814130783081055,-2.992527961730957,-4.294558525085449,True,True
doctor_realized_that,The doctor realized that,masculine_coded,doctor,sweep:-1.0,sweep,,-1.0,14.599010467529297,13.82728099822998,12.320898056030273,0.14083313941955566,0.06509491056203842,0.01443222165107727,0.7717294692993164,he, the,10.416770935058594,9.936335563659668,7.843225479125977,0.02688433974981308,0.016628341749310493,0.0020503252744674683,0.4804353713989258,he, he,-0.2912940979003906,-4.182239532470703,-3.8909454345703125,-4.477672576904297,False,True
doctor_realized_that,The doctor realized that,masculine_coded,doctor,sweep:0.0,sweep,,0.0,14.599010467529297,13.82728099822998,12.320898056030273,0.14083313941955566,0.06509491056203842,0.01443222165107727,0.7717294692993164,he, the,9.89826774597168,10.332398414611816,7.939321041107178,0.015913130715489388,0.024563834071159363,0.002243860624730587,-0.4341306686401367,she, she,-1.2058601379394531,-4.700742721557617,-3.494882583618164,-4.381577014923096,True,True
doctor_realized_that,The doctor realized that,masculine_coded,doctor,sweep:1.0,sweep,,1.0,14.599010467529297,13.82728099822998,12.320898056030273,0.14083313941955566,0.06509491056203842,0.01443222165107727,0.7717294692993164,he, the,9.378260612487793,10.725007057189941,8.033148765563965,0.009255621582269669,0.035586897283792496,0.0024111871607601643,-1.3467464447021484,she, she,-2.118475914001465,-5.220749855041504,-3.102273941040039,-4.287749290466309,True,True
engineer_said_that,The engineer said that,masculine_coded,engineer,sweep:-1.0,sweep,,-1.0,12.750202178955078,10.609457969665527,11.331442832946777,0.06928371638059616,0.008145499974489212,0.016767635941505432,2.140744209289551,he, the,8.49621295928955,6.794124603271484,6.858209609985352,0.008230592124164104,0.001500456826761365,0.0015997615410014987,1.7020883560180664,he, although,-0.4386558532714844,-4.253989219665527,-3.815333366394043,-4.473233222961426,False,True
